league,season,team,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,player,weekly wage,yearly salary
ENG-Premier League,2425,Tottenham,FRA,FW,25,2005,2.5,2,0.79,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Mathys Tel,,
ENG-Premier League,2425,Tottenham,ENG,"FW,MF",25,2007,2.1,10,4.86,6,2,0,1,1,0,2,0.97,1,0,0,1,0,0,Mikey Moore,,
ENG-Premier League,2425,Tottenham,BRA,FW,25,1997,3.1,8,2.57,5,0,0,2,1,0,1,0.32,1,0,0,0,0,0,Richarlison,175000.0,9100000.0
ENG-Premier League,2425,Tottenham,KOR,FW,25,1992,20.1,105,5.22,78,7,10,6,4,0,14,0.7,12,0,0,1,1,0,Son Heung-min,,
ENG-Premier League,2425,Tottenham,GER,"FW,MF",25,1996,5.7,18,3.13,14,0,2,1,1,0,3,0.52,3,0,0,0,0,0,Timo Werner,,
ENG-Premier League,2425,Tottenham,ENG,"FW,MF",25,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Will Lankshear,,
ENG-Premier League,2425,Tottenham,FRA,FW,25,2004,3.8,6,1.6,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Wilson Odobert,16000.0,832000.0
ENG-Premier League,2425,West Ham,ESP,"MF,FW",25,1997,12.1,42,3.47,26,7,2,4,2,1,2,0.17,2,0,0,0,0,0,Carlos Soler,,
ENG-Premier League,2425,West Ham,NED,"FW,MF",25,2001,8.7,35,4.01,21,3,5,0,5,1,1,0.11,1,0,0,0,0,0,Crysencio Summerville,,
ENG-Premier League,2425,West Ham,ENG,"FW,MF",25,1992,3.2,12,3.8,7,0,1,3,1,0,2,0.63,0,0,0,1,1,0,Danny Ings,125000.0,6500000.0
ENG-Premier League,2425,West Ham,IRL,FW,25,2004,1.0,4,3.83,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Evan Ferguson,27000.0,1404000.0
ENG-Premier League,2425,West Ham,ENG,"FW,MF",25,1996,23.3,90,3.86,55,12,5,10,6,2,10,0.43,6,2,1,1,0,0,Jarrod Bowen,125000.0,6500000.0
ENG-Premier League,2425,West Ham,BRA,"MF,FW",25,1997,19.2,61,3.18,49,2,1,4,5,0,5,0.26,2,0,0,2,1,0,Lucas Paquetá,130000.0,6760000.0
