league,season,team,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,player,weekly wage,yearly salary
ENG-Premier League,2425,Wolves,GAB,"MF,DF",25,1993,15.2,51,31,27,19,5,20,29,69.0,9,12,7,5,27,78,50,3,Mario Lemina,49000.0,2548000.0
ENG-Premier League,2425,Wolves,IRL,DF,25,1992,16.9,30,17,21,9,0,11,17,64.7,6,21,12,9,18,48,65,2,Matt Doherty,49000.0,2548000.0
ENG-Premier League,2425,Wolves,BFA,DF,25,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,1,Nasser Djiga,,
ENG-Premier League,2425,Wolves,POR,DF,25,1993,22.8,47,27,27,14,6,25,42,59.5,17,26,10,16,11,58,83,2,Nélson Semedo,84000.0,4368000.0
ENG-Premier League,2425,Wolves,BRA,DF,25,2006,0.8,1,0,0,0,1,1,3,33.3,2,0,0,0,2,3,5,0,Pedro Lima,,
ENG-Premier League,2425,Wolves,ALG,DF,25,2001,25.6,67,39,43,20,4,34,54,63.0,20,35,6,29,19,86,56,1,Rayan Aït-Nouri,33000.0,1716000.0
ENG-Premier League,2425,Wolves,POR,"DF,FW",25,2003,6.3,19,12,10,9,0,9,17,52.9,8,8,1,7,4,23,17,1,Rodrigo Gomes,,
ENG-Premier League,2425,Wolves,URU,DF,25,1998,16.8,32,16,21,10,1,13,17,76.5,4,32,18,14,14,46,54,0,Santiago Bueno,28000.0,1456000.0
ENG-Premier League,2425,Wolves,POR,DF,25,1999,19.0,41,30,27,12,2,20,24,83.3,4,21,14,7,17,58,90,4,Toti Gomes,,
ENG-Premier League,2425,Wolves,COL,DF,25,2001,4.9,11,7,9,2,0,9,14,64.3,5,13,10,3,10,21,14,0,Yerson Mosquera,,
